test/success_rate,stats_o/mean,epoch,stats_o/std,test/mean_Q,test/episode,train/episode,stats_g/mean,train/success_rate,stats_g/std
0.0025,0.1969608,0,0.76004314,-3.1178339,400.0,2000.0,0.3833454,0.0005,0.22757985
0.0225,0.19742654,1,0.74815583,-5.2343717,800.0,4000.0,0.38192204,0.0025,0.22650327
0.0225,0.19760962,2,0.7453196,-7.3255653,1200.0,6000.0,0.38168457,0.009500000000000001,0.22741397
0.027500000000000004,0.19750284,3,0.7440432,-9.311756,1600.0,8000.0,0.38203079,0.010500000000000002,0.22793917
0.07500000000000001,0.19763976,4,0.7444243,-10.79218,2000.0,10000.0,0.3817556,0.0165,0.22784181
0.057499999999999996,0.19755293,5,0.74728614,-12.43471,2400.0,12000.0,0.3811647,0.024,0.22818777
0.085,0.19753279,6,0.75064033,-13.810018,2800.0,14000.0,0.38040856,0.0325,0.22846626
0.0875,0.1975507,7,0.7545019,-15.458919,3200.0,16000.0,0.38036758,0.04249999999999999,0.22900577
0.10499999999999998,0.19746311,8,0.75933146,-16.63147,3600.0,18000.0,0.38043836,0.04100000000000001,0.22981808
0.1375,0.19748536,9,0.763924,-17.622473,4000.0,20000.0,0.38020042,0.0585,0.23053643
0.1325,0.19744371,10,0.76935107,-18.675592,4400.0,22000.0,0.38005328,0.0665,0.23124477
0.1325,0.19724736,11,0.7753018,-19.27124,4800.0,24000.0,0.37985224,0.062,0.23182556
0.175,0.19716664,12,0.7812555,-19.833239,5200.0,26000.0,0.37984678,0.077,0.23243281
0.14999999999999997,0.19695874,13,0.7872591,-21.340197,5600.0,28000.0,0.37951323,0.0795,0.23300664
0.22749999999999998,0.19676508,14,0.79333144,-19.80325,6000.0,30000.0,0.3789937,0.083,0.23361483
0.2125,0.19659083,15,0.79963815,-21.03384,6400.0,32000.0,0.37878278,0.08649999999999998,0.23410143
0.22000000000000003,0.19636622,16,0.8062057,-21.662203,6800.0,34000.0,0.37848082,0.1,0.23456971
0.35750000000000004,0.1962624,17,0.8132718,-18.62843,7200.0,36000.0,0.3784143,0.10799999999999998,0.23459545
0.32500000000000007,0.19596912,18,0.82008654,-18.227667,7600.0,38000.0,0.3784217,0.149,0.23443973
0.3375,0.1957415,19,0.8267995,-18.932673,8000.0,40000.0,0.37844282,0.154,0.23419948
0.41,0.19546738,20,0.83336556,-17.34193,8400.0,42000.0,0.37847352,0.17100000000000004,0.23386863
0.44250000000000006,0.19527619,21,0.8398518,-16.086359,8800.0,44000.0,0.37851152,0.1765,0.2335951
0.52,0.19508971,22,0.8463196,-15.528776,9200.0,46000.0,0.37869078,0.1965,0.23325436
0.5475,0.19487208,23,0.85250777,-15.609564,9600.0,48000.0,0.37868476,0.20650000000000002,0.23295672
0.5299999999999999,0.19459958,24,0.8585431,-13.530853,10000.0,50000.0,0.3785778,0.2275,0.2326251
0.5850000000000001,0.19440034,25,0.86443806,-12.987471,10400.0,52000.0,0.37863043,0.24599999999999997,0.23226395
0.615,0.19422506,26,0.8699269,-12.537291,10800.0,54000.0,0.3786428,0.2465,0.23190503
0.6875000000000001,0.19407801,27,0.8749213,-11.286025,11200.0,56000.0,0.3788163,0.2645,0.23151076
0.675,0.19397537,28,0.8795077,-10.936862,11600.0,58000.0,0.37906083,0.2665,0.23110451
0.7150000000000001,0.19380064,29,0.8837111,-10.981987,12000.0,60000.0,0.3793375,0.281,0.23073736
0.6875,0.19361937,30,0.8879896,-11.025219,12400.0,62000.0,0.37951332,0.26050000000000006,0.23040149
0.7175,0.19351533,31,0.8919445,-9.512793,12800.0,64000.0,0.37951297,0.2725,0.23014411
0.7074999999999999,0.19338125,32,0.8956696,-10.313469,13200.0,66000.0,0.3795406,0.28650000000000003,0.22994772
0.74,0.19324212,33,0.8991381,-9.158964,13600.0,68000.0,0.37953472,0.28049999999999997,0.22976878
0.6975,0.19314069,34,0.9024366,-10.043977,14000.0,70000.0,0.37950626,0.287,0.22951518
0.7499999999999998,0.19301048,35,0.9055448,-10.484414,14400.0,72000.0,0.37955698,0.29900000000000004,0.22933014
0.78,0.19297105,36,0.90855336,-9.187732,14800.0,74000.0,0.3796852,0.298,0.2291126
0.7825,0.19289082,37,0.9113183,-8.9196615,15200.0,76000.0,0.37973133,0.31050000000000005,0.22900173
0.7499999999999999,0.19285908,38,0.9139605,-9.020252,15600.0,78000.0,0.37974596,0.3125,0.22881225
0.77,0.19282974,39,0.9163309,-8.256955,16000.0,80000.0,0.3798523,0.317,0.22859697
0.75,0.1928362,40,0.91861594,-9.369352,16400.0,82000.0,0.37993714,0.3155,0.22843668
0.7849999999999999,0.19279967,41,0.92078555,-8.474173,16800.0,84000.0,0.37999436,0.325,0.2283014
0.8,0.1927483,42,0.9228235,-7.7635818,17200.0,86000.0,0.37997216,0.3215,0.22816007
